Module Code,Module Name,Number of Students,Department/School/Institute,Academic Year,Period
MTHM044,Extremal Combinatorics,2,School of Mathematical Sciences,2011/12,SEM1
MED75B1,"Part 5, Section B: Examination - Integrated Clinical Practice.",44,School of Medicine,2011/12,YEAR
GEG4104,"Globalisation, Development and Inequality",120,School of Geography,2011/12,SEM2
AMCM060,Computability,2,School of Engineering & Computer Science,2011/12,SEM2
HST6330,"Empire to Independence, The Making of Modern India, 1757-1947",0,School of History,2011/12,SEM2
SBC104,Exploring Psychology,88,School of Biological and Chemical Sciences,2011/12,SEM1
SBC302,Personality and Individual Differences,40,School of Biological and Chemical Sciences,2011/12,SEM1
ESH205,Black Writing in Britain,22,School of English & Drama - Department of English,2011/12,SEM2
ESH390,Milton: Revolutions in Writing,18,School of English & Drama - Department of English,2011/12,SEM2
CHE464,Biological and Medicinal Inorganic Chemistry,34,School of Biological and Chemical Sciences,2011/12,SEM2
HSP646,Spanish III,31,School of Languages Linguistics and Film,2011/12,YEAR
HST5340,Gender and Politics in Britain since 1870,36,School of History,2011/12,SEM1
AMCM054,Distributed Systems and Security,14,School of Engineering & Computer Science,2011/12,SEM1
ELE304,Software Engineering,84,School of Engineering & Computer Science,2011/12,SEM1
POR294,Semester Abroad - Portuguese Studies Erasmus Study Placement,5,School of Languages Linguistics and Film,2011/12,SEM1
POR294,Semester Abroad - Portuguese Studies Erasmus Study Placement,3,School of Languages Linguistics and Film,2011/12,SEM2
ESDM011,Developing the Curriculum in the Disciplines,60,The Learning Institute,2011/12,YEAR
ESDM012,Learning and Teaching in HE,16,The Learning Institute,2011/12,SEM3
GER612,Austrian Literature,8,School of Languages Linguistics and Film,2011/12,SEM2
DEN202,Engineering Design,225,School of Engineering & Material Science,2011/12,SEM2
BBC5406,Sensors and Radio Frequency Identification,0,School of Engineering & Computer Science,2011/12,SEM1
BBC4208,Data Structure,544,School of Engineering & Computer Science,2011/12,SEM1
DCS341,Entrepreneurship in Information Technology,17,School of Engineering & Computer Science,2011/12,SEM2
ESH271,James Baldwin and American Civil Rights,36,School of English & Drama - Department of English,2011/12,SEM2
CAN7011,Arthroscopic Procedure Skills,0,Barts Cancer Institute,2011/12,SEM1
CCDM023,"10,000 Word Dissertation",1,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
GEG7118,"Dissertation 22,500 Words",1,School of Geography,2011/12,YEAR
GER051B,German I,0,School of Languages Linguistics and Film,2011/12,SEM2
DENM009,"Medical Ethics, Law and Regulatory Practice in Bioengineering",10,School of Engineering & Material Science,2011/12,SEM2
EBU4001,Fundamentals of Law,0,School of Engineering & Computer Science,2011/12,SEM2
ECOM042,Empirical Finance,13,School of Economics & Finance,2011/12,SEM2
ELE041,Machine Learning,5,School of Engineering & Computer Science,2011/12,SEM2
AMCM225,Database Systems,20,School of Engineering & Computer Science,2011/12,SEM2
ELED004,Network Computing and Internet Technologies,3,School of Engineering & Computer Science,2011/12,SEM1
BBC3914,English 1,545,School of Engineering & Computer Science,2011/12,SEM1
ELS027,From Reading to Writing: Using Language in a University Context,0,School of Languages Linguistics and Film,2011/12,SEM2
BDS75B1,BDS Part 5 Section B,82,Dental School / Institute of Dentistry,2011/12,YEAR
ESH110A,Literatures in Time: Texts and Contexts from the Eighth to the Sixteenth Century,11,School of English & Drama - Department of English,2011/12,SEM1
BUS313,Corporate Social Responsibility,130,School of Business & Management,2011/12,SEM2
ESH368,Modern Irish Writing,37,School of English & Drama - Department of English,2011/12,SEM1
BUS126,Business and Society,246,School of Business & Management,2011/12,SEM1
SBC502,Health Psychology,50,School of Biological and Chemical Sciences,2011/12,SEM1
MTHM044,Extremal Combinatorics,0,School of Mathematical Sciences,2011/12,SEM1
MTH731U,Computational Statistics,0,School of Mathematical Sciences,2011/12,SEM1
ASTM116,Astrophysical Plasmas,26,School of Physics & Astronomy,2011/12,SEM2
BBC3502,Computer Fundamentals and Programming,577,School of Engineering & Computer Science,2011/12,SEM1
CCLE005,EU Financial Law,0,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
DEN319,Third Year Project (BEng/BSc(Eng)),1,School of Engineering & Material Science,2011/12,SEM1
MED75A1,"Part 5, Section A: Continuous Assessment",44,School of Medicine,2011/12,YEAR
ESDM008,CILT Module 2: Developing Learning and Teaching in the Disciplines,15,The Learning Institute,2011/12,SEM1
FRE503,La Nouvelle Vague,17,School of Languages Linguistics and Film,2011/12,SEM1
SBS005,The Diversity of Life,2,School of Biological and Chemical Sciences,2011/12,SEM1
SBSM024,Benthic and Planktonic Processes,9,School of Biological and Chemical Sciences,2011/12,SEM2
CCLE008,Law of Finance and Foreign Investment in Emerging Economies,0,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
CCLE009,Legal Aspects of International Finance,0,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
CCLE012,Securities Regulation,0,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
CCLE013,Financial Models and Derivatives in a Legal Context,0,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
ECCL022,Law and Finance Dissertation,0,School of Economics & Finance,2011/12,YEAR
CCLE004,Banking Law,0,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
CCLE006,International Commercial Law,0,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
CCLE007,International Economic Law,0,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
CCLE010,Regulation of Financial Markets,0,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
CCLE011,Secured Financing in Commercial Transactions,0,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
ECCL013,Corporate Finance,0,School of Economics & Finance,2011/12,SEM1
ECCL014,Financial Derivatives,0,School of Economics & Finance,2011/12,SEM2
ECCL015,Commercial and Investment Banking,0,School of Economics & Finance,2011/12,SEM1
ECCL016,Investment Management,0,School of Economics & Finance,2011/12,SEM1
ECCL017,Business Finance,0,School of Economics & Finance,2011/12,SEM1
ECCL018,Risk Management for Banking,0,School of Economics & Finance,2011/12,SEM2
ECCL019,Principles of Accounting,0,School of Economics & Finance,2011/12,SEM2
ECCL020,Financial Economics,0,School of Economics & Finance,2011/12,SEM2
ECCL021,Financial Management,0,School of Economics & Finance,2011/12,SEM2
ECOM075,Dissertation,33,School of Economics & Finance,2011/12,YEAR
LIN7006,Dissertation in Linguistics,10,School of Languages Linguistics and Film,2012/13,YEAR
LIN7007,From Morpheme to Meaning,2,School of Languages Linguistics and Film,2012/13,SEM2
LIN7008,Formal Methods and Theory,2,School of Languages Linguistics and Film,2012/13,SEM1
LIN7010,Sociophonetics,8,School of Languages Linguistics and Film,2012/13,SEM2
LIN7012,Language Policy and Language Planning,5,School of Languages Linguistics and Film,2012/13,SEM2
LIN7017,Pidgins and Creoles,3,School of Languages Linguistics and Film,2012/13,SEM2
LIN7018,Bilingualism,4,School of Languages Linguistics and Film,2012/13,SEM1
LIN7019,"Sex, Gender and Language",0,School of Languages Linguistics and Film,2012/13,SEM1
LIN7020,Ethnography of Communication - Foundations and Fieldwork,0,School of Languages Linguistics and Film,2012/13,SEM1
LIN7021,Advanced Semantic Theory,4,School of Languages Linguistics and Film,2012/13,SEM2
LIN7022,Advanced Syntactic Theory,2,School of Languages Linguistics and Film,2012/13,SEM2
SMLM034,Anglo-German Travel Writing,2,School of Languages Linguistics and Film,2012/13,SEM1
PHY7006U,Relativity and Gravitation,6,School of Physics & Astronomy,2012/13,SEM1
PHY7006P,Relativity and Gravitation,6,School of Physics & Astronomy,2012/13,SEM1
PHY7007U,Advanced Quantum Field Theory,17,School of Physics & Astronomy,2012/13,SEM2
BBU4208,Data Structure,33,School of Engineering & Computer Science,2012/13,SEM1
PHY5227,Structure and Properties of Functional Materials,13,School of Physics & Astronomy,2012/13,SEM2
ESDM018,Teaching With Learning Technologies,2,The Learning Institute,2012/13,YEAR
BUS106,Accounting for Business,2,School of Business & Management,2012/13,SEM1
CCDM042,Negotiation and Mediation Workshop,4,School of Law / Centre for Commercial Law Studies,2012/13,SEM2
LCMM014,Dissertation,4,School of English & Drama - Department of English,2012/13,YEAR
QLLP032,International Arbitration and Energy,4,School of Law / Centre for Commercial Law Studies,2012/13,SEM2
QLLP033,International Commercial Arbitration (Skills and Advocacy),7,School of Law / Centre for Commercial Law Studies,2012/13,SEM2
QLLP034,International Commercial Law,5,School of Law / Centre for Commercial Law Studies,2012/13,SEM2
QLLP035,International Insolvency and Debt Restructuring,2,School of Law / Centre for Commercial Law Studies,2012/13,SEM2
QLLP036,International Investment Arbitration,5,School of Law / Centre for Commercial Law Studies,2012/13,SEM2
QLLP037,International Commercial Arbitration(Applicable Laws and Procedures),4,School of Law / Centre for Commercial Law Studies,2012/13,SEM2
QLLP038,International Commercial Arbitration(Regulation and Infrastructure),4,School of Law / Centre for Commercial Law Studies,2012/13,SEM2
QLLP040,English and Comparative Contract Law,8,School of Law / Centre for Commercial Law Studies,2012/13,SEM2
DIN7193,Clinical governance and audit,0,Dental School / Institute of Dentistry,2012/13,YEAR
DIN7181,Research consolidation and manuscript preparation from MClinDent project,0,Dental School / Institute of Dentistry,2012/13,YEAR
DIN7185,Multidisciplinary management of periodontal disease and its consequences,0,Dental School / Institute of Dentistry,2012/13,YEAR
DIN7187,Advance specialist knowledge  in Paediatric Dentistry,0,Dental School / Institute of Dentistry,2012/13,YEAR
DIN7182,Completion of Clinical Treatment and Cases,0,Dental School / Institute of Dentistry,2012/13,SEM3
DIN7190,Completion of Clinical Treatment and Cases,0,Dental School / Institute of Dentistry,2012/13,SEM3
MTH6104P,Algebraic Structures II,2,School of Mathematical Sciences,2012/13,SEM1
MTH6109P,Combinatorics,1,School of Mathematical Sciences,2012/13,SEM1
MTH6115P,Cryptography,1,School of Mathematical Sciences,2012/13,SEM2
MTH6116P,Design of Experiments,0,School of Mathematical Sciences,2012/13,SEM2
MTH6117P,Entrepreneurship and Innovation,1,School of Mathematical Sciences,2012/13,SEM1
MTH6120P,Further Topics in Mathematical Finance,3,School of Mathematical Sciences,2012/13,SEM2
MTH6121P,Introduction to Mathematical Finance,1,School of Mathematical Sciences,2012/13,SEM1
MTH6126P,Metric Spaces,2,School of Mathematical Sciences,2012/13,SEM1
MTH6128P,Number Theory,1,School of Mathematical Sciences,2012/13,SEM2
MTH6129P,"Oscillations, Waves and Patterns",0,School of Mathematical Sciences,2012/13,SEM2
MTH6134P,Statistical Modelling II,2,School of Mathematical Sciences,2012/13,SEM1
MTH6136P,Statistical Theory,1,School of Mathematical Sciences,2012/13,SEM2
MTH6141P,Random Processes,0,School of Mathematical Sciences,2012/13,SEM2
ERA6001,Erasmus Work Placement,1,Queen Mary University of London,2012/13,YEAR
DIN7180,Clinical governance and audit,0,Dental School / Institute of Dentistry,2012/13,YEAR
DIN7189,Research consolidation and manuscript preparation from MClinDent project,0,Dental School / Institute of Dentistry,2012/13,YEAR
DIN7191,Advanced clinical diagnostic and treatment planning in Orthodontic patients,0,Dental School / Institute of Dentistry,2012/13,YEAR
DIN7183,"Assessment, Diagnosis, Treatment Planning Clinics",0,Dental School / Institute of Dentistry,2012/13,YEAR
DIN7184,Advance specialist care in Periodontology,0,Dental School / Institute of Dentistry,2012/13,YEAR
DIN7186,Comprehensive clinical management of oral health for children,0,Dental School / Institute of Dentistry,2012/13,YEAR
DIN7188,Clinical governance and audit,0,Dental School / Institute of Dentistry,2012/13,YEAR
DIN7194,Research consolidation and manuscript preparation from MClinDent project,0,Dental School / Institute of Dentistry,2012/13,YEAR
DIN7192,Multidisciplinary care in Orthodontic patients,0,Dental School / Institute of Dentistry,2012/13,YEAR
DIN7195,Completion of Clinical Treatment and Cases,0,Dental School / Institute of Dentistry,2012/13,SEM3
FLM104,Scriptwriting: Creativity and Technique,0,School of Languages Linguistics and Film,2012/13,SEM2
FLM016,Production Skills,8,School of Languages Linguistics and Film,2012/13,SEM1
LLU111,Beginners' French I,1,School of Languages Linguistics and Film,2012/13,SEM1
LLU121,Beginners' Spanish I,0,School of Languages Linguistics and Film,2012/13,SEM1
LLU122,Further Spanish I,1,School of Languages Linguistics and Film,2012/13,SEM1
LLU142,Further Japanese I,0,School of Languages Linguistics and Film,2012/13,SEM1
LLU221,Beginners' Spanish II,2,School of Languages Linguistics and Film,2012/13,SEM2
LLU223,Advanced Spanish II,1,School of Languages Linguistics and Film,2012/13,SEM2
LLU225,Higher-Further Spanish II,2,School of Languages Linguistics and Film,2012/13,SEM2
LLU241,Beginners' Japanese II,0,School of Languages Linguistics and Film,2012/13,SEM2
LLU243,Advanced Japanese II,0,School of Languages Linguistics and Film,2012/13,SEM2
LLU245,Higher-Further Japanese II,0,School of Languages Linguistics and Film,2012/13,SEM2
ECCL013,Corporate Finance,0,School of Economics & Finance,2012/13,SEM1
ECCL014,Financial Derivatives,21,School of Economics & Finance,2012/13,SEM2
ECCL015,Commercial and Investment Banking,19,School of Economics & Finance,2012/13,SEM1
